thinking,q4,q8,number of digits,number of words,success count,fail count
false,true,false,1,1,15,1
false,true,false,1,6,16,0
false,true,false,1,11,16,0
false,true,false,1,16,15,1
false,true,false,1,21,13,3
false,true,false,1,26,12,4
false,true,false,1,31,8,8
false,true,false,1,36,3,13
false,true,false,1,41,2,14
false,true,false,2,1,16,0
false,true,false,2,6,16,0
false,true,false,2,11,16,0
false,true,false,2,16,16,0
false,true,false,2,21,15,1
false,true,false,2,26,15,1
false,true,false,2,31,15,1
false,true,false,2,36,14,2
false,true,false,2,41,16,0
false,true,false,3,1,16,0
false,true,false,3,6,16,0
false,true,false,3,11,15,1
false,true,false,3,16,16,0
false,true,false,3,21,15,1
false,true,false,3,26,14,2
false,true,false,3,31,12,4
false,true,false,3,36,10,6
false,true,false,3,41,5,11
false,true,false,4,1,16,0
false,true,false,4,6,16,0
false,true,false,4,11,16,0
false,true,false,4,16,16,0
false,true,false,4,21,8,8
false,true,false,4,26,8,8
false,true,false,4,31,4,12
false,true,false,4,36,6,10
false,true,false,4,41,4,12
